iter	Passed	Remaining
0	3	903
1	5	833
2	7	726
3	10	764
4	12	760
5	15	769
6	18	754
7	20	733
8	21	704
9	23	682
10	25	668
11	27	667
12	29	658
13	32	659
14	34	658
15	37	660
16	39	660
17	42	665
18	44	665
19	47	668
20	50	671
21	53	671
22	55	671
23	59	679
24	62	687
25	65	695
26	68	694
27	70	688
28	73	686
29	75	681
30	78	680
31	80	677
32	83	673
33	85	672
34	88	672
35	91	673
36	94	671
37	97	670
38	99	669
39	103	669
40	105	665
41	107	659
42	109	653
43	111	649
44	114	647
45	116	644
46	118	639
47	120	634
48	123	631
49	125	626
50	127	624
51	131	625
52	134	625
53	136	623
54	138	618
55	140	613
56	142	609
57	146	609
58	148	606
59	150	602
60	152	597
61	154	593
62	156	588
63	158	585
64	161	583
65	163	580
66	166	578
67	168	574
68	170	570
69	172	566
70	174	562
71	176	560
72	179	557
73	181	555
74	184	552
75	186	549
76	188	545
77	190	542
78	194	542
79	196	540
80	198	536
81	201	534
82	203	531
83	205	527
84	207	525
85	211	525
86	213	522
87	215	518
88	217	515
89	219	513
90	222	509
91	224	508
92	226	505
93	229	502
94	231	499
95	233	497
96	236	493
97	238	490
98	240	487
99	242	484
100	244	481
101	246	478
102	248	474
103	250	471
104	252	468
105	255	467
106	257	464
107	259	461
108	261	458
109	263	455
110	265	452
111	268	449
112	272	450
113	274	447
114	276	444
115	278	441
116	280	438
117	282	435
118	284	433
119	286	430
120	289	427
121	291	425
122	293	422
123	295	419
124	297	416
125	299	414
126	302	411
127	304	408
128	306	405
129	308	402
130	310	399
131	311	396
132	314	394
133	316	391
134	318	388
135	320	386
136	322	383
137	324	380
138	326	378
139	329	376
140	331	373
141	334	371
142	336	369
143	338	367
144	340	364
145	343	361
146	345	359
147	347	356
148	349	354
149	352	352
150	354	349
151	356	347
152	358	344
153	361	342
154	363	340
155	365	337
156	367	334
157	369	332
158	371	329
159	373	327
160	376	324
161	378	322
162	380	320
163	382	317
164	384	314
165	386	312
166	389	310
167	392	308
168	395	306
169	397	304
170	399	301
171	401	299
172	404	297
173	407	294
174	409	292
175	412	290
176	415	288
177	417	286
178	421	284
179	423	282
180	426	280
181	428	277
182	430	275
183	433	273
184	435	270
185	438	268
186	440	266
187	442	263
188	444	261
189	447	258
190	450	256
191	452	254
192	455	252
193	458	250
194	461	248
195	463	246
196	467	244
197	469	241
198	471	239
199	473	236
200	476	234
201	478	232
202	480	229
203	483	227
204	486	225
205	488	222
206	490	220
207	493	218
208	495	215
209	498	213
210	500	211
211	503	208
212	505	206
213	508	204
214	510	201
215	513	199
216	515	197
217	517	194
218	520	192
219	522	190
220	525	187
221	527	185
222	529	182
223	532	180
224	534	178
225	537	175
226	540	173
227	542	171
228	544	168
229	547	166
230	549	164
231	552	161
232	554	159
233	556	157
234	559	154
235	562	152
236	564	150
237	567	147
238	569	145
239	572	143
240	575	140
241	577	138
242	580	136
243	583	133
244	587	131
245	590	129
246	593	127
247	595	124
248	598	122
249	601	120
250	604	117
251	606	115
252	609	113
253	612	110
254	616	108
255	619	106
256	622	104
257	625	101
258	627	99
259	630	96
260	632	94
261	635	92
262	637	89
263	640	87
264	643	84
265	645	82
266	648	80
267	651	77
268	653	75
269	655	72
270	658	70
271	660	68
272	663	65
273	665	63
274	668	60
275	670	58
276	673	55
277	675	53
278	677	51
279	680	48
280	682	46
281	684	43
282	687	41
283	690	38
284	692	36
285	694	34
286	697	31
287	700	29
288	702	26
289	704	24
290	707	21
291	710	19
292	712	17
293	715	14
294	718	12
295	720	9
296	723	7
297	725	4
298	727	2
299	730	0
